지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2018070101,0.001,0.200,0.042,0.011,13,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070102,0.001,0.200,0.043,0.009,14,12,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070103,0.001,0.200,0.036,0.012,14,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070104,0.001,0.200,0.023,0.020,14,12,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070105,0.001,0.200,0.018,0.018,12,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070106,0.001,0.200,0.014,0.013,15,12,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070107,0.001,0.100,0.014,0.010,19,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070108,0.001,0.200,0.014,0.011,21,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070109,0.002,0.200,0.013,0.011,25,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070110,0.002,0.200,0.011,0.010,24,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070111,0.003,0.200,0.011,0.009,26,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070112,0.002,0.200,0.015,0.008,27,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070113,0.002,0.200,0.018,0.008,21,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070114,0.001,0.100,0.021,0.007,29,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070115,0.001,0.100,0.021,0.007,25,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070116,0.001,0.100,0.020,0.006,26,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070117,0.001,0.100,0.019,0.008,28,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070118,0.001,0.100,0.018,0.008,32,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070119,0.001,0.200,0.015,0.011,30,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070120,0.002,0.200,0.008,0.023,23,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070121,0.003,0.300,0.007,0.028,29,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070122,0.003,0.300,0.009,0.029,36,28,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070123,0.003,0.300,0.009,0.031,32,28,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070124,0.002,0.300,0.011,0.027,37,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070201,0.002,0.200,0.014,0.022,36,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070202,0.001,0.200,0.012,0.020,29,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070203,0.002,0.200,0.010,0.017,31,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070204,0.002,0.100,0.011,0.013,23,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070205,0.001,0.100,0.018,0.009,23,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070206,0.001,0.100,0.017,0.011,27,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070207,0.001,0.100,0.019,0.008,27,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070208,0.001,0.100,0.020,0.007,26,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070209,0.001,0.200,0.017,0.010,24,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070210,0.001,0.200,0.016,0.011,27,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070211,0.001,0.200,0.017,0.010,28,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070212,0.001,0.100,0.019,0.010,31,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070213,0.002,0.100,0.022,0.007,32,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070214,0.002,0.100,0.024,0.009,27,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070215,0.002,0.100,0.025,0.010,35,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070216,0.001,0.100,0.023,0.015,35,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070217,0.001,0.200,0.023,0.018,29,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070218,,,,,31,28,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070219,0.005,0.200,0.014,0.027,30,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070220,0.006,0.300,0.009,0.030,40,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070221,0.006,0.200,0.010,0.025,40,30,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070222,0.005,0.200,0.011,0.018,37,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070223,0.004,0.200,0.012,0.015,34,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070224,0.004,0.200,0.011,0.016,25,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070301,0.004,0.200,0.011,0.014,22,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070302,0.003,0.200,0.012,0.011,23,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070303,0.003,0.200,0.011,0.011,19,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070304,0.003,0.200,0.011,0.010,16,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070305,0.003,0.200,0.013,0.006,19,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070306,0.002,0.200,0.013,0.007,20,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070307,0.002,0.300,0.010,0.013,13,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070308,0.003,0.200,0.010,0.011,16,9,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2018070309,0.002,0.200,0.010,0.012,12,10,부산 사하구 장림로 161번길 2
