지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,221202,장림동,2018010101,0.003,0.300,0.027,0.013,70,19,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010102,0.003,0.300,0.028,0.012,71,26,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010103,0.003,0.200,0.027,0.012,66,25,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010104,0.003,0.200,0.026,0.013,57,22,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010105,0.004,0.300,0.026,0.013,54,15,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010106,0.004,0.300,0.023,0.014,64,25,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010107,0.003,0.300,0.022,0.014,64,27,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010108,0.003,0.300,0.019,0.018,52,23,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010109,0.003,0.300,0.022,0.016,51,23,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010110,0.004,0.300,0.027,0.012,47,17,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010111,0.003,0.200,0.030,0.010,51,27,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010112,0.003,0.200,0.032,0.009,47,20,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010113,0.003,0.200,0.033,0.009,46,21,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010114,0.004,0.200,0.034,0.009,44,9,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010115,0.003,0.200,0.035,0.009,41,11,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010116,0.003,0.200,0.033,0.011,41,19,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010117,0.003,0.300,0.031,0.013,43,14,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010118,0.003,0.300,0.026,0.018,39,20,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010119,0.003,0.400,0.015,0.030,38,25,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010120,0.003,0.400,0.012,0.033,45,31,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010121,0.003,0.400,0.017,0.027,47,24,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010122,0.003,0.400,0.013,0.031,46,29,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010123,0.003,0.400,0.006,0.036,51,34,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010124,0.003,0.400,0.010,0.030,55,35,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010201,0.003,0.400,0.016,0.022,58,35,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010202,0.003,0.400,0.016,0.022,56,35,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010203,0.018,0.400,0.016,0.021,49,36,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010204,0.005,0.400,0.022,0.015,76,53,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010205,0.004,0.300,0.024,0.014,61,38,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010206,0.004,0.400,0.020,0.019,72,42,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010207,0.004,0.400,0.009,0.032,71,42,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010208,0.004,0.600,0.003,0.045,65,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010209,0.005,0.600,0.005,0.046,90,51,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010210,0.005,0.500,0.008,0.039,88,42,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010211,0.005,0.400,0.014,0.033,82,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010212,0.005,0.400,0.019,0.028,79,36,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010213,0.006,0.400,0.021,0.027,66,30,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010214,0.005,0.400,0.024,0.027,68,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010215,0.005,0.400,0.025,0.030,79,40,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010216,0.006,0.400,0.029,0.028,95,48,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010217,0.006,0.400,0.024,0.030,95,52,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010218,0.008,0.500,0.008,0.048,84,41,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010219,0.008,0.700,0.003,0.055,92,41,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010220,0.006,0.600,0.006,0.050,94,40,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010221,0.005,0.500,0.012,0.040,108,65,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010222,0.004,0.500,0.010,0.041,110,70,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010223,0.004,0.500,0.010,0.042,112,69,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010224,0.004,0.500,0.014,0.035,110,61,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010301,0.004,0.600,0.010,0.037,118,66,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018010302,0.004,0.500,0.023,0.021,126,81,부산 사하구 장림로 161번길 2
