time,PV,PM10,PM25,SO2,CO,O3,NO2,기온,강수량,습도,풍속,풍향,증기압,이슬점온도,현지기압,해면기압,일조,일사,지면온도
2018-01-01 01:00:00,0,70,19,0.003,0.300,0.027,0.013,.5,,33,1.3,360,2.1,-13.9,1015.5,1024.3,,,-4.9
2018-01-01 02:00:00,0,71,26,0.003,0.300,0.028,0.012,.1,,34,1.5,20,2.1,-13.9,1015.7,1024.5,,,-5.3
2018-01-01 03:00:00,0,66,25,0.003,0.200,0.027,0.012,0,,37,2.1,320,2.3,-12.9,1015.9,1024.7,,,-5
2018-01-01 04:00:00,0,57,22,0.003,0.200,0.026,0.013,-.1,,42,2.3,340,2.5,-11.5,1016,1024.9,,,-4.4
2018-01-01 05:00:00,0,54,15,0.004,0.300,0.026,0.013,-.1,,43,2.8,50,2.6,-11.2,1016,1024.9,,,-4.1
2018-01-01 06:00:00,0,64,25,0.004,0.300,0.023,0.014,-.5,,45,2.1,20,2.6,-11,1016.5,1025.4,,,-4.6
2018-01-01 07:00:00,0,64,27,0.003,0.300,0.022,0.014,-.8,,45,2.5,340,2.6,-11.2,1017.1,1026,,,-5.3
2018-01-01 08:00:00,0,52,23,0.003,0.300,0.019,0.018,-.5,,43,1.2,360,2.5,-11.5,1017.4,1026.3,.3,.03,-4.5
2018-01-01 09:00:00,4.176,51,23,0.003,0.300,0.022,0.016,1.7,,39,2.1,20,2.7,-10.8,1018.1,1026.9,1,.46,4.5
2018-01-01 10:00:00,19.956,47,17,0.004,0.300,0.027,0.012,2.7,,35,3,340,2.6,-11.2,1018.4,1027.2,1,1.04,14.8
2018-01-01 11:00:00,32.196,51,27,0.003,0.200,0.030,0.010,4.5,,29,2.9,50,2.4,-12,1018,1026.7,1,1.53,18.7
2018-01-01 12:00:00,40.932,47,20,0.003,0.200,0.032,0.009,5.5,,24,2.9,340,2.2,-13.5,1017.5,1026.2,1,1.86,22.6
2018-01-01 13:00:00,44.112,46,21,0.003,0.200,0.033,0.009,5.6,,19,7.6,360,1.7,-16.2,1016.3,1025,1,1.98,18.5
2018-01-01 14:00:00,41.628,44,9,0.004,0.200,0.034,0.009,6.6,,20,4,320,1.9,-14.8,1016,1024.6,1,1.88,13
2018-01-01 15:00:00,33.42,41,11,0.003,0.200,0.035,0.009,7.1,,19,2.4,360,1.9,-15,1016,1024.6,1,1.51,9.5
2018-01-01 16:00:00,21.432,41,19,0.003,0.200,0.033,0.011,6.3,,20,3.5,200,1.9,-15,1016.4,1025,1,.99,6.9
