지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2014010101,0.008,0.600,0.025,0.013,126,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010102,0.010,0.600,0.025,0.013,135,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010103,0.015,0.600,0.023,0.016,146,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010104,0.012,0.600,0.025,0.014,167,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010105,0.010,0.500,0.027,0.012,139,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010106,0.008,0.500,0.027,0.011,152,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010107,0.007,0.600,0.024,0.012,155,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010108,0.006,0.700,0.024,0.012,160,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010109,0.006,0.700,0.020,0.013,161,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010110,0.006,0.700,0.021,0.013,167,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010111,0.006,0.700,0.028,0.011,161,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010112,0.006,0.600,0.032,0.010,154,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010113,0.005,0.500,0.035,0.010,151,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010114,0.005,0.400,0.038,0.008,136,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010115,0.004,0.400,0.038,0.008,116,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010116,0.004,0.300,0.039,0.007,109,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010117,0.004,0.300,0.039,0.008,94,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010118,0.005,0.300,0.037,0.011,86,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010119,0.005,0.400,0.028,0.016,110,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010120,0.004,0.400,0.024,0.018,99,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010121,0.005,0.500,0.018,0.023,95,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014010122,0.005,0.600,0.016,0.025,104,,경남 하동군 하동읍 읍내리
