지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2014100101,0.003,0.200,0.033,0.004,60,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100102,0.003,0.200,0.033,0.003,56,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100103,0.003,0.200,0.032,0.003,54,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100104,0.003,0.200,0.030,0.003,55,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100105,0.003,0.200,0.032,0.003,56,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100106,0.003,0.200,0.031,0.003,48,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100107,0.003,0.200,0.024,0.006,55,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100108,0.003,0.200,0.017,0.010,57,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100109,0.003,0.200,0.026,0.007,59,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100110,0.003,0.200,0.038,0.003,57,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100111,0.003,0.200,0.040,0.003,51,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100112,0.003,0.200,0.041,0.004,47,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100113,0.003,0.200,0.043,0.003,53,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100114,0.003,0.200,0.046,0.003,52,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100115,0.003,0.200,0.048,0.003,50,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100116,0.003,0.200,0.049,0.003,50,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100117,0.003,0.200,0.049,0.004,51,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100118,0.003,0.200,0.046,0.004,54,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100119,0.003,0.300,0.034,0.010,54,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100120,0.003,0.300,0.027,0.010,55,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100121,0.003,0.300,0.022,0.009,61,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100122,0.003,0.300,0.019,0.012,57,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100123,0.003,0.300,0.019,0.008,51,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100124,0.003,0.200,0.018,0.006,53,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100201,0.003,0.200,0.018,0.005,58,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100202,0.003,0.200,0.016,0.005,53,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100203,0.003,0.200,0.016,0.004,47,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100204,0.003,0.200,0.017,0.004,54,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100205,0.003,0.200,0.013,0.005,51,,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2014100206,0.003,0.200,0.014,0.004,52,,경남 하동군 하동읍 읍내리
