지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2015040101,0.002,0.500,0.018,0.012,44,22,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040102,0.002,0.500,0.020,0.009,43,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040103,0.002,0.400,0.016,0.010,45,23,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040104,0.002,0.500,0.017,0.009,42,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040105,0.002,0.500,0.015,0.009,46,31,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040106,0.002,0.500,0.013,0.011,42,20,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040107,0.002,0.500,0.010,0.013,53,34,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040108,0.003,0.500,0.008,0.016,55,29,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040109,0.003,0.600,0.010,0.016,55,25,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040110,0.003,0.600,0.018,0.011,60,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040111,0.004,0.600,0.024,0.011,68,33,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040112,0.004,0.600,0.019,0.017,47,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040113,0.004,0.500,0.022,0.015,69,36,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040114,0.004,0.400,0.029,0.017,61,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040115,0.004,0.400,0.040,0.018,41,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040116,0.004,0.400,0.039,0.021,56,43,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040117,0.003,0.400,0.034,0.020,40,12,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040118,0.002,0.300,0.041,0.007,26,11,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040119,0.002,0.300,0.041,0.006,19,3,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040120,0.002,0.300,0.041,0.006,19,3,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040121,0.002,0.200,0.041,0.005,24,3,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040122,0.002,0.200,0.042,0.004,19,4,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040123,0.002,0.300,0.043,0.004,21,11,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040124,0.002,0.300,0.042,0.004,26,14,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040201,0.002,0.300,0.043,0.003,31,12,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040202,0.002,0.300,0.042,0.003,29,13,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040203,0.002,0.300,0.044,0.003,36,15,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040204,0.002,0.300,0.044,0.003,32,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040205,0.002,0.300,0.043,0.003,37,20,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040206,0.002,0.300,0.043,0.003,41,19,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040207,0.002,0.300,0.045,0.004,37,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040208,0.002,0.300,0.045,0.004,45,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040209,0.002,0.300,0.047,0.004,40,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040210,0.002,0.300,0.047,0.005,49,22,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015040211,0.002,0.300,0.047,0.006,44,24,경남 하동군 하동읍 군청로 23
