지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2015070101,0.002,0.300,0.032,0.004,25,7,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070102,0.002,0.300,0.032,0.003,25,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070103,0.002,0.200,0.029,0.003,25,11,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070104,0.002,0.200,0.025,0.003,25,9,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070105,0.002,0.300,0.022,0.003,30,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070106,0.002,0.300,0.020,0.003,31,14,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070107,0.002,0.300,0.021,0.003,33,13,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070108,0.002,0.300,0.025,0.004,30,14,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070109,0.002,0.300,0.033,0.004,36,18,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070110,0.002,0.300,0.049,0.004,37,18,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070111,0.002,0.300,0.052,0.003,44,26,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070112,0.002,0.200,0.052,0.002,43,33,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070113,0.002,0.200,0.054,0.002,39,34,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070114,0.002,0.300,0.056,0.003,32,15,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070115,0.002,0.300,0.058,0.004,36,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070116,0.002,0.300,0.060,0.003,36,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070117,0.002,0.300,0.061,0.004,34,19,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070118,0.002,0.300,0.061,0.004,28,8,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070119,0.002,0.300,0.060,0.005,28,,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070120,0.002,0.300,0.053,0.006,34,26,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070121,0.002,0.300,0.057,0.004,36,27,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070122,0.002,0.300,0.057,0.003,38,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070123,0.002,0.300,0.054,0.004,41,31,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070124,0.002,0.300,0.051,0.003,45,39,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070201,0.002,0.300,0.042,0.004,44,25,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070202,0.002,0.300,0.036,0.003,48,39,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070203,0.002,0.300,0.039,0.002,42,30,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070204,0.002,0.300,0.030,0.002,45,23,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070205,0.002,0.300,0.030,0.002,41,34,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070206,0.002,0.300,0.024,0.002,37,23,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070207,0.002,0.300,0.030,0.003,37,15,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070208,0.002,0.300,0.030,0.003,40,38,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070209,0.002,0.300,0.037,0.003,46,31,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070210,0.009,0.600,0.037,0.011,48,33,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070211,,,,,58,33,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070212,,,,,80,57,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070213,0.016,3.200,,0.041,75,66,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070214,0.009,1.300,,0.034,76,67,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070215,0.006,0.600,,0.016,75,54,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070216,0.004,0.400,,0.010,59,41,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070217,0.003,0.400,,0.010,48,26,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070218,0.003,0.500,0.055,0.018,40,34,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070219,0.003,0.500,0.041,0.020,39,27,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070220,0.003,0.500,0.037,0.021,44,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070221,0.002,0.400,0.031,0.020,37,22,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070222,0.002,0.400,0.030,0.016,44,34,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070223,0.002,0.400,0.023,0.014,46,23,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070224,0.002,0.400,0.018,0.013,44,25,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070301,0.002,0.400,0.015,0.011,43,28,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070302,0.002,0.400,0.012,0.009,42,30,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070303,0.002,0.300,0.011,0.008,43,30,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070304,0.002,0.300,0.009,0.007,49,28,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070305,0.002,0.300,0.008,0.006,46,29,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070306,0.002,0.300,0.007,0.006,47,29,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070307,0.002,0.300,0.007,0.005,46,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070308,0.002,0.400,0.009,0.007,48,30,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070309,0.002,0.400,0.016,0.009,56,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070310,0.002,0.400,0.037,0.010,66,41,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070311,0.001,0.400,0.058,0.004,73,47,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070312,0.001,0.400,0.063,0.005,67,40,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070313,0.001,0.400,0.072,0.007,62,50,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070314,0.001,0.400,0.064,0.005,68,48,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070315,0.001,0.300,0.055,0.004,66,42,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070316,0.001,0.300,0.054,0.004,49,33,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070317,0.001,0.300,0.056,0.004,42,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070318,0.001,0.300,0.057,0.006,36,27,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070319,0.001,0.300,0.053,0.007,42,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070320,0.001,0.300,0.054,0.006,34,32,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070321,0.001,0.200,0.055,0.004,41,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070322,0.001,0.200,0.051,0.005,33,30,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070323,0.001,0.200,0.043,0.005,30,15,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070324,0.001,0.200,0.042,0.004,28,22,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070401,0.001,0.200,0.044,0.003,26,24,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070402,0.001,0.200,0.043,0.003,22,20,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070403,0.001,0.200,0.038,0.003,28,17,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070404,0.001,0.200,0.032,0.002,25,23,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070405,0.001,0.200,0.032,0.003,25,21,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070406,0.001,0.200,0.034,0.003,29,12,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070407,0.001,0.200,0.031,0.004,26,20,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070408,0.001,0.200,0.028,0.006,32,19,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070409,0.001,0.200,0.030,0.006,34,18,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070410,0.001,0.200,0.033,0.008,38,19,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070411,0.001,0.300,0.046,0.006,45,27,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070412,0.001,0.300,0.062,0.005,45,15,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070413,0.001,0.300,0.067,0.004,57,,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015070414,0.001,0.300,0.075,0.005,65,39,경남 하동군 하동읍 군청로 23
