지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2016070101,0.003,0.100,0.030,0.003,37,18,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070102,0.002,0.100,0.034,0.002,29,14,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070103,0.002,0.100,0.034,0.001,19,10,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070104,0.001,0.100,0.029,0.001,23,10,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070105,0.002,0.100,0.023,0.002,18,9,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070106,0.002,0.100,0.019,0.002,21,8,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070107,0.002,0.200,0.015,0.004,20,10,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070108,0.002,0.200,0.015,0.005,23,9,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070109,0.002,0.200,0.016,0.006,31,12,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070110,0.003,0.200,0.017,0.006,37,14,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070111,0.003,0.200,0.017,0.005,34,14,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070112,0.003,0.200,0.015,0.006,34,20,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070113,0.002,0.200,0.013,0.007,34,20,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070114,0.002,0.100,0.015,0.003,31,16,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070115,0.001,0.100,0.020,0.000,13,10,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070116,0.002,0.100,0.021,0.001,12,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070117,0.001,0.100,0.019,0.001,11,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070118,0.002,0.100,0.015,0.004,11,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070119,0.005,0.200,0.011,0.007,11,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070120,0.006,0.300,0.008,0.007,14,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070121,0.003,0.100,0.008,0.003,23,5,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070122,0.003,0.100,0.010,0.000,28,5,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070123,0.003,0.100,0.012,0.000,21,6,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070124,0.003,0.100,0.015,0.000,25,8,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070201,0.002,0.100,0.016,0.000,29,10,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070202,0.002,0.100,0.017,0.000,28,6,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070203,0.003,0.100,0.015,0.000,24,5,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070204,0.002,0.100,0.017,0.000,23,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070205,0.002,0.100,0.020,0.000,16,4,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016070206,0.002,0.100,0.023,0.000,14,4,경남 하동군 하동읍 읍내리
