지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2016010101,0.003,0.500,0.020,0.008,51,30,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010102,0.002,0.500,0.019,0.007,50,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010103,0.002,0.500,0.017,0.007,46,33,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010104,0.002,0.500,0.017,0.006,46,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010105,0.002,0.500,0.017,0.006,47,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010106,0.002,0.500,0.015,0.007,48,30,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010107,0.002,0.500,0.014,0.006,45,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010108,0.002,0.500,0.013,0.007,50,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010109,0.002,0.500,0.011,0.010,49,28,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010110,0.003,0.500,0.014,0.011,51,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010111,0.003,0.500,0.022,0.009,64,34,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010112,0.003,0.500,0.029,0.008,54,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010113,0.005,0.500,0.033,0.009,59,38,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010114,0.006,0.600,0.034,0.012,66,35,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010115,0.014,0.900,0.035,0.018,68,37,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010116,0.008,0.600,0.038,0.013,76,41,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010117,0.003,0.400,0.039,0.008,56,37,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010118,0.003,0.400,0.036,0.009,43,28,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010119,0.003,0.500,0.027,0.016,45,28,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010120,0.003,0.600,0.020,0.020,52,27,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010121,0.003,0.500,0.021,0.015,51,35,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010122,0.003,0.500,0.018,0.015,53,34,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010123,0.002,0.500,0.017,0.013,61,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010124,0.003,0.600,0.013,0.015,56,35,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010201,0.002,0.500,0.015,0.012,55,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010202,0.002,0.500,0.016,0.010,52,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010203,0.002,0.500,0.017,0.009,52,34,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010204,0.002,0.400,0.023,0.006,44,31,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010205,0.002,0.400,0.021,0.006,43,28,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010206,0.003,0.500,0.015,0.009,36,23,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010207,0.003,0.500,0.016,0.010,46,27,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010208,0.003,0.500,0.013,0.012,46,29,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010209,0.003,0.500,0.012,0.014,44,25,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010210,0.003,0.500,0.012,0.013,57,32,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010211,0.003,0.500,0.013,0.017,69,42,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010212,0.004,0.500,0.018,0.017,67,35,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010213,0.013,1.000,0.018,0.023,64,39,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010214,0.012,1.000,0.019,0.026,95,45,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010215,0.007,0.600,0.034,0.016,86,46,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010216,0.005,0.500,0.036,0.014,55,43,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010217,0.005,0.500,0.034,0.018,71,40,경남 하동군 하동읍 읍내리
경남 하동군,238161,하동읍,2016010218,0.004,0.500,0.024,0.023,60,36,경남 하동군 하동읍 읍내리
