지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017060101,0.014,0.100,0.015,0.015,45,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060102,0.011,0.100,0.019,0.011,51,46,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060103,0.010,0.100,0.020,0.009,38,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060104,0.011,0.100,0.017,0.013,48,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060105,0.012,0.100,0.011,0.017,42,39,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060106,0.013,0.100,0.004,0.024,48,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060107,0.012,0.100,0.006,0.022,42,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060108,0.015,0.200,0.008,0.023,50,42,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060109,0.011,0.100,0.014,0.022,64,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060110,0.011,0.100,0.020,0.020,55,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060111,0.009,0.100,0.026,0.021,48,36,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060112,0.006,0.100,0.037,0.020,57,44,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060113,0.006,0.200,0.043,0.018,68,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060114,0.006,0.100,0.050,0.017,51,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060115,0.005,0.200,0.059,0.015,59,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060116,0.004,0.200,0.062,0.015,56,44,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060117,0.004,0.100,0.063,0.015,55,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060118,0.006,0.200,0.056,0.018,59,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060119,0.006,0.200,0.050,0.022,65,50,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017060120,0.006,0.200,0.050,0.024,61,46,부산 사하구 장림로 161번길 2
