지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017120101,0.004,0.600,0.029,0.013,53,33,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120102,0.006,0.500,0.030,0.013,58,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120103,0.005,0.700,0.030,0.012,61,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120104,0.004,0.700,0.032,0.010,58,49,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120105,0.004,0.600,0.031,0.009,53,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120106,0.003,0.500,0.028,0.012,59,31,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120107,0.004,0.600,0.021,0.020,46,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120108,0.004,0.400,0.015,0.028,57,36,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120109,0.004,0.500,0.017,0.027,50,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120110,0.003,0.400,0.024,0.019,68,29,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120111,0.003,0.300,0.024,0.019,105,31,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120112,0.003,0.500,0.024,0.017,87,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120113,0.003,0.300,0.025,0.015,70,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120114,0.003,0.400,0.022,0.018,44,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120115,0.005,0.500,0.020,0.021,47,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120116,0.004,0.500,0.017,0.025,44,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120117,0.004,0.600,0.015,0.027,48,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120118,0.004,0.400,0.009,0.033,62,42,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120119,0.004,0.400,0.004,0.041,43,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120120,0.003,0.300,0.002,0.042,43,23,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120121,0.003,0.300,0.003,0.041,40,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120122,0.004,0.800,0.003,0.041,42,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120123,0.004,0.500,0.002,0.041,58,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120124,0.003,0.300,0.002,0.040,52,38,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120201,0.004,0.300,0.003,0.039,33,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120202,0.003,0.300,0.004,0.037,27,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120203,0.004,0.600,0.003,0.037,39,32,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120204,0.006,0.600,0.004,0.035,53,36,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120205,0.006,0.700,0.006,0.031,72,50,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120206,0.012,2.500,0.010,0.025,71,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120207,0.004,0.900,0.008,0.030,72,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120208,0.004,0.300,0.003,0.040,75,58,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120209,0.004,0.700,0.006,0.039,46,27,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120210,0.004,0.500,0.009,0.032,68,31,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120211,0.004,0.300,0.013,0.030,59,33,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017120212,0.003,0.300,0.020,0.023,57,32,부산 사하구 장림로 161번길 2
