time,PV,PM10,PM25,SO2,CO,O3,NO2,기온,강수량,습도,풍속,풍향,증기압,이슬점온도,현지기압,해면기압,일조,일사,지면온도
2013-01-01 01:00:00,0,31,-1,0.003,0.400,0.021,0.008,-4.1,,74,.7,70,3.3,-8,1004,1021.7,,,-.1
2013-01-01 02:00:00,0,31,-1,0.003,0.400,0.020,0.008,-5.2,,78,.4,0,3.2,-8.4,1004.5,1022.3,,,-.2
2013-01-01 03:00:00,0,32,-1,0.003,0.400,0.020,0.006,-5.7,,81,.6,90,3.2,-8.4,1004.3,1022.1,,,-.3
2013-01-01 04:00:00,0,30,-1,0.003,0.400,0.017,0.007,-6.9,,85,1,200,3.1,-9,1003.7,1021.6,,,-.3
2013-01-01 05:00:00,0,38,-1,0.003,0.400,0.018,0.006,-7,,84,1,90,3,-9.2,1002.9,1020.7,,,-.4
2013-01-01 06:00:00,0,34,-1,0.003,0.400,0.016,0.006,-7.9,,87,.3,0,3,-9.6,1002.7,1020.6,,,-.4
2013-01-01 07:00:00,0,33,-1,0.003,0.400,0.015,0.007,-8,,87,.4,0,2.9,-9.7,1002.5,1020.4,,,-.5
2013-01-01 08:00:00,0,31,-1,0.003,0.400,0.014,0.006,-7,,87,.9,230,3.1,-8.8,1002.5,1020.3,0,,-.4
2013-01-01 09:00:00,2.304,28,-1,0.003,0.400,0.013,0.009,-5.6,,83,.7,110,3.3,-8,1002.5,1020.2,0,,-.3
2013-01-01 10:00:00,26.928,39,-1,0.003,0.400,0.017,0.010,-4.1,,78,1.9,250,3.5,-7.3,1002.5,1020.2,0,,-.2
2013-01-01 11:00:00,34.38,30,-1,0.004,0.400,0.021,0.009,-1.5,,76,1.2,250,4.2,-5.1,1002.3,1019.8,0,,-.1
2013-01-01 12:00:00,105.696,37,-1,0.008,0.400,0.024,0.008,-1.3,0,80,.9,290,4.4,-4.3,1001.7,1019.1,.1,,0
2013-01-01 13:00:00,92.448,39,-1,0.010,0.500,0.025,0.010,.1,,79,.7,230,4.9,-3.1,1001.1,1018.5,0,,0
2013-01-01 14:00:00,105.408,44,-1,0.008,0.400,0.033,0.006,2.2,,72,1.1,90,5.2,-2.3,1000.7,1017.9,.3,,0
2013-01-01 15:00:00,90.72,50,-1,0.012,0.500,0.034,0.008,3.8,.1,46,5.5,290,3.7,-6.7,1001.1,1018.2,.1,,0
2013-01-01 16:00:00,28.404,96,-1,0.016,0.500,0.032,0.012,3.7,,41,5.6,250,3.3,-8.3,1001.5,1018.6,.1,,.1
2013-01-01 17:00:00,10.908,130,-1,0.018,0.500,0.031,0.014,2.1,,60,5.2,320,4.3,-4.8,1002.6,1019.8,0,,.1
2013-01-01 18:00:00,0,139,-1,0.016,0.500,0.030,0.015,1,0,76,2,340,5,-2.7,1003.3,1020.6,0,,.1
2013-01-01 19:00:00,0,144,-1,0.013,0.500,0.028,0.016,1,,64,1.5,360,4.2,-5,1003.5,1020.8,,,.1
2013-01-01 20:00:00,0,136,-1,0.010,0.700,0.014,0.029,-.8,,73,1.3,70,4.2,-5,1003.7,1021.1,,,.1
2013-01-01 21:00:00,0,132,-1,0.008,0.700,0.013,0.026,-2.2,,81,.7,250,4.2,-5,1003.8,1021.3,,,0
2013-01-01 22:00:00,0,113,-1,0.007,0.600,0.016,0.017,-3.1,,84,1.1,160,4.1,-5.4,1003.9,1021.5,,,0
2013-01-01 23:00:00,0,114,-1,0.006,0.600,0.011,0.019,-2.5,,79,1.9,140,4,-5.6,1003.5,1021.1,,,-.1
2013-01-02 00:00:00,0,114,-1,0.005,0.600,0.012,0.014,-2.6,,81,.9,140,4.1,-5.4,1003.4,1021,,,-.1
2013-01-02 01:00:00,0,113,-1,0.005,0.600,0.011,0.014,-2.3,,79,.8,290,4.1,-5.4,1003.1,1020.6,,,-.1
2013-01-02 02:00:00,0,104,-1,0.005,0.600,0.017,0.011,.3,,72,1.5,50,4.5,-4.1,1003,1020.4,,,-.1
2013-01-02 03:00:00,0,115,-1,0.009,0.400,0.033,0.005,3.1,,60,3.8,320,4.6,-3.9,1003.6,1020.8,,,-.1
2013-01-02 04:00:00,0,131,-1,0.009,0.400,0.032,0.005,1.7,,61,5.4,290,4.2,-5,1004.3,1021.6,,,0
2013-01-02 05:00:00,0,94,-1,0.011,0.400,0.029,0.006,.8,,58,5,320,3.8,-6.5,1004.9,1022.3,,,0
2013-01-02 06:00:00,0,115,-1,0.011,0.400,0.029,0.006,-.8,.1,60,6,320,3.5,-7.6,1006.3,1023.8,,,0
2013-01-02 07:00:00,0,87,-1,0.009,0.400,0.031,0.005,-2.2,,53,5.6,320,2.8,-10.5,1007.8,1025.4,,,0
2013-01-02 08:00:00,0.036,58,-1,0.007,0.400,0.032,0.005,-2.7,,49,4.9,290,2.5,-11.9,1008.6,1026.3,0,,-.1
2013-01-02 09:00:00,21.348,33,-1,0.005,0.300,0.034,0.005,-2.9,,47,4.6,320,2.3,-12.6,1009.6,1027.3,0,,-.1
2013-01-02 10:00:00,82.692,31,-1,0.005,0.300,0.035,0.004,-3.1,,47,5.2,320,2.3,-12.8,1010.7,1028.4,.9,,-.2
2013-01-02 11:00:00,124.632,24,-1,0.005,0.300,0.035,0.005,-1.6,,43,3.8,290,2.3,-12.5,1010.8,1028.4,1,,-.1
2013-01-02 12:00:00,148.032,23,-1,0.005,0.300,0.036,0.004,-1.2,,39,4.4,320,2.2,-13.4,1010.1,1027.7,1,,0
2013-01-02 13:00:00,161.784,25,-1,0.005,0.300,0.037,0.005,-1.2,,40,4.7,320,2.2,-13.1,1009.9,1027.5,1,,0
2013-01-02 14:00:00,157.968,32,-1,0.005,0.300,0.038,0.004,-1.3,,39,4.9,320,2.2,-13.5,1010.2,1027.8,1,,0
2013-01-02 15:00:00,131.004,27,-1,0.005,0.300,0.039,0.004,-1.1,,39,5.5,290,2.2,-13.3,1010.9,1028.5,1,,0
2013-01-02 16:00:00,88.272,23,-1,0.005,0.300,0.038,0.005,-1.4,,40,4.4,290,2.2,-13.2,1011.5,1029.1,1,,0
2013-01-02 17:00:00,32.004,25,-1,0.005,0.300,0.037,0.006,-2.8,,43,2.8,320,2.1,-13.6,1012.6,1030.3,.2,,0
2013-01-02 18:00:00,0.468,26,-1,0.005,0.300,0.034,0.009,-3.4,,42,3.6,290,2,-14.5,1013.2,1031,0,,0
2013-01-02 19:00:00,0,22,-1,0.005,0.300,0.033,0.009,-4.6,,46,2.7,360,2,-14.4,1014.1,1032,,,-.1
2013-01-02 20:00:00,0,18,-1,0.004,0.300,0.034,0.008,-5.4,,43,2.6,360,1.8,-16,1014.8,1032.7,,,-.2
2013-01-02 21:00:00,0,23,-1,0.005,0.300,0.034,0.007,-6,,41,3.9,360,1.6,-17.1,1015.4,1033.4,,,-.3
2013-01-02 22:00:00,0,25,-1,0.005,0.300,0.034,0.006,-6.9,,41,2.9,340,1.5,-17.9,1015.9,1034,,,-.3
2013-01-02 23:00:00,0,14,-1,0.005,0.300,0.034,0.005,-7.7,,44,2.8,360,1.5,-17.8,1016.2,1034.3,,,-.4
2013-01-03 00:00:00,0,15,-1,0.005,0.300,0.033,0.004,-8.3,,47,1.9,20,1.5,-17.6,1016.3,1034.5,,,-.5
2013-01-03 01:00:00,0,18,-1,0.004,0.300,0.034,0.003,-8.4,,51,1.2,320,1.7,-16.7,1016.5,1034.7,,,-.5
2013-01-03 02:00:00,0,15,-1,0.004,0.300,0.034,0.002,-8.2,,51,1.3,340,1.7,-16.5,1016.9,1035.1,,,-.6
2013-01-03 03:00:00,0,14,-1,0.004,0.300,0.033,0.002,-8,,51,3.3,20,1.7,-16.3,1016.9,1035.1,,,-.6
2013-01-03 04:00:00,0,22,-1,0.004,0.300,0.033,0.002,-7.7,,52,3.1,340,1.8,-15.8,1017.2,1035.4,,,-.6
2013-01-03 05:00:00,0,17,-1,0.004,0.200,0.036,0.001,-7.8,,51,2.6,320,1.7,-16.1,1016.8,1035,,,-.6
2013-01-03 06:00:00,0,15,-1,0.003,0.200,0.036,0.001,-8.6,,52,2.3,340,1.7,-16.7,1016.9,1035.1,,,-.6
2013-01-03 07:00:00,0,13,-1,0.003,0.200,0.033,0.003,-8.3,,40,3.1,340,1.3,-19.5,1017.5,1035.7,,,-.6
2013-01-03 08:00:00,0,20,-1,0.003,0.300,0.033,0.003,-9,,39,3,340,1.2,-20.4,1017.9,1036.2,0,,-.6
2013-01-03 09:00:00,22.356,17,-1,0.003,0.300,0.033,0.005,-8.7,,37,4.4,360,1.2,-20.8,1018.3,1036.6,0,,-.7
2013-01-03 10:00:00,56.808,20,-1,0.003,0.300,0.034,0.005,-7.3,,30,3.7,320,1.1,-21.9,1019.3,1037.5,.9,,-.6
2013-01-03 11:00:00,126.216,17,-1,0.003,0.200,0.035,0.005,-6.6,,27,4.8,290,1,-22.5,1019.1,1037.2,1,,-.5
2013-01-03 12:00:00,161.748,17,-1,0.003,0.200,0.037,0.004,-5.6,,28,4.6,290,1.1,-21.2,1017.8,1035.8,1,,-.3
2013-01-03 13:00:00,179.748,18,-1,0.003,0.200,0.037,0.003,-4.5,,28,5.2,320,1.2,-20.3,1016.9,1034.8,1,,-.2
2013-01-03 14:00:00,172.044,16,-1,0.003,0.200,0.038,0.004,-4.4,,28,6.1,320,1.2,-20.2,1016,1033.9,1,,-.1
2013-01-03 15:00:00,136.008,15,-1,0.003,0.200,0.039,0.004,-3.4,,29,4.7,290,1.4,-18.9,1015.8,1033.6,1,,-.1
2013-01-03 16:00:00,52.56,13,-1,0.003,0.200,0.037,0.005,-3.9,,27,5.1,290,1.2,-20.2,1015.9,1033.8,1,,-.1
2013-01-03 17:00:00,16.38,17,-1,0.003,0.200,0.037,0.005,-4.6,,28,3,290,1.2,-20.3,1015.9,1033.8,.2,,-.2
2013-01-03 18:00:00,0.324,15,-1,0.003,0.200,0.036,0.006,-5.2,,27,3,290,1.1,-21.3,1016.4,1034.4,0,,-.3
2013-01-03 19:00:00,0,11,-1,0.004,0.300,0.037,0.005,-5.6,,27,4.5,340,1.1,-21.6,1016.6,1034.6,,,-.4
2013-01-03 20:00:00,0,12,-1,0.004,0.300,0.037,0.005,-6.1,,27,3.6,290,1,-22.1,1016.6,1034.6,,,-.5
2013-01-03 21:00:00,0,18,-1,0.004,0.200,0.038,0.003,-6,,26,4.8,290,1,-22.4,1016.3,1034.3,,,-.6
2013-01-03 22:00:00,0,18,-1,0.004,0.200,0.037,0.004,-6,,26,4.8,340,1,-22.4,1016.2,1034.2,,,-.6
2013-01-03 23:00:00,0,14,-1,0.003,0.200,0.036,0.004,-6.1,,23,4.5,340,.9,-23.9,1015.9,1033.9,,,-.7
2013-01-04 00:00:00,0,12,-1,0.003,0.300,0.033,0.003,-7.6,,32,3.7,360,1.1,-21.4,1015.6,1033.7,,,-.7
2013-01-04 01:00:00,0,21,-1,0.003,0.300,0.029,0.005,-7.5,,29,2.7,360,1,-22.5,1015.2,1033.3,,,-.7
2013-01-04 02:00:00,0,17,-1,0.003,0.300,0.029,0.002,-8.1,,31,1.5,200,1,-22.2,1015.4,1033.6,,,-.7
2013-01-04 03:00:00,0,22,-1,0.003,0.300,0.028,0.002,-9.3,,35,.9,250,1.1,-21.9,1015.7,1034,,,-.8
2013-01-04 04:00:00,0,14,-1,0.003,0.300,0.029,0.001,-9.5,,35,1.2,230,1,-22.1,1015.3,1033.6,,,-.8
2013-01-04 05:00:00,0,16,-1,0.003,0.300,0.027,0.001,-10.4,,42,1.4,230,1.2,-20.8,1014.7,1033,,,-.9
2013-01-04 06:00:00,0,11,-1,0.003,0.300,0.029,0.002,-11.4,,47,.7,230,1.2,-20.4,1014.4,1032.8,,,-.9
2013-01-04 07:00:00,0,17,-1,0.004,0.300,0.032,0.004,-11.6,,50,.4,0,1.3,-19.9,1014.4,1032.8,,,-.9
2013-01-04 08:00:00,0,15,-1,0.003,0.300,0.024,0.006,-12.4,,61,.6,50,1.5,-18.3,1014.3,1032.7,0,,-1
2013-01-04 09:00:00,24.084,18,-1,0.003,0.300,0.022,0.010,-10.3,,47,1.3,270,1.3,-19.4,1014.5,1032.8,0,,-1
2013-01-04 10:00:00,96.732,29,-1,0.004,0.300,0.029,0.010,-5.6,,30,2.1,290,1.2,-20.4,1014.4,1032.3,.9,,-.9
2013-01-04 11:00:00,138.996,25,-1,0.004,0.300,0.032,0.008,-3.4,,23,1.5,320,1.1,-21.6,1013.8,1031.6,1,,-.6
2013-01-04 12:00:00,161.532,-999,-1,-999.000,-999.000,-999.000,-999.000,-.8,,22,1.7,290,1.3,-19.9,1012.5,1030.1,1,,-.3
2013-01-04 13:00:00,175.212,25,-1,0.005,0.400,0.032,0.011,1.6,,23,1.9,270,1.6,-17.3,1011.2,1028.6,1,,-.1
2013-01-04 14:00:00,149.688,23,-1,0.004,0.300,0.036,0.009,1.8,,19,2,340,1.3,-19.4,1010.1,1027.5,1,,0
2013-01-04 15:00:00,127.728,25,-1,0.003,0.300,0.038,0.007,2.3,,19,2.2,320,1.4,-19,1009.7,1027,1,,0
2013-01-04 16:00:00,85.608,18,-1,0.003,0.300,0.037,0.008,1.9,,18,2.1,320,1.3,-19.9,1009.6,1027,1,,0
2013-01-04 17:00:00,40.284,17,-1,0.004,0.300,0.035,0.011,.3,,22,2.2,340,1.4,-18.9,1009.7,1027.2,.3,,0
2013-01-04 18:00:00,0.648,21,-1,0.003,0.300,0.034,0.012,-1.8,,29,1.6,360,1.6,-17.5,1009.8,1027.4,0,,-.1
2013-01-04 19:00:00,0,26,-1,0.003,0.300,0.030,0.015,-2.6,,31,1,200,1.6,-17.4,1009.9,1027.6,,,-.3
2013-01-04 20:00:00,0,22,-1,0.004,0.300,0.030,0.013,-5.3,,47,.5,360,1.9,-14.8,1010.2,1028.1,,,-.5
2013-01-04 21:00:00,0,18,-1,0.003,0.300,0.028,0.013,-6.2,,50,.5,230,1.9,-14.9,1010.3,1028.2,,,-.6
2013-01-04 22:00:00,0,20,-1,0.003,0.300,0.027,0.012,-7.7,,63,.1,0,2.2,-13.5,1010.1,1028.1,,,-.7
2013-01-04 23:00:00,0,24,-1,0.003,0.300,0.026,0.011,-8.6,,65,.2,0,2.1,-14,1010,1028.1,,,-.8
2013-01-05 00:00:00,0,20,-1,0.003,0.300,0.026,0.009,-9.3,,66,.8,70,2,-14.4,1009.8,1027.9,,,-.9
2013-01-05 01:00:00,0,21,-1,0.003,0.300,0.026,0.009,-10.5,,71,0,0,2,-14.7,1009.6,1027.8,,,-1
2013-01-05 02:00:00,0,24,-1,0.003,0.300,0.025,0.009,-11,,72,.4,0,1.9,-15,1009.5,1027.7,,,-1
2013-01-05 03:00:00,0,24,-1,0.003,0.300,0.024,0.009,-11.6,,75,.3,0,1.9,-15.1,1009.4,1027.7,,,-1
2013-01-05 04:00:00,0,25,-1,0.003,0.300,0.024,0.009,-11.5,,72,.8,320,1.8,-15.5,1009.1,1027.4,,,-1
2013-01-05 05:00:00,0,26,-1,0.003,0.300,0.024,0.009,-11.7,,73,.4,0,1.8,-15.5,1009,1027.3,,,-1
2013-01-05 06:00:00,0,26,-1,0.003,0.300,0.025,0.008,-12.1,,74,.3,0,1.8,-15.7,1008.9,1027.2,,,-1
2013-01-05 07:00:00,0,22,-1,0.004,0.300,0.027,0.008,-12.5,,77,.7,340,1.8,-15.7,1009.2,1027.6,,,-1
2013-01-05 08:00:00,0,20,-1,0.004,0.300,0.028,0.009,-12.5,,76,1,290,1.8,-15.8,1009.3,1027.7,0,,-1
2013-01-05 09:00:00,23.832,25,-1,0.004,0.300,0.028,0.011,-12.2,,75,.3,0,1.8,-15.7,1009.3,1027.6,0,,-1.1
2013-01-05 10:00:00,93.168,29,-1,0.004,0.300,0.031,0.010,-7.1,,47,.9,180,1.7,-16.5,1009.3,1027.3,.9,,-1.1
2013-01-05 11:00:00,137.988,26,-1,0.004,0.300,0.033,0.010,-1.3,,29,3.2,340,1.6,-17,1008.3,1025.9,1,,-.8
2013-01-05 12:00:00,159.912,21,-1,0.004,0.300,0.034,0.009,.6,,33,4.8,340,2.1,-13.8,1007,1024.4,1,,-.4
2013-01-05 13:00:00,173.052,21,-1,0.004,0.300,0.035,0.010,1.1,,32,4.7,320,2.1,-13.8,1006,1023.4,1,,-.2
2013-01-05 14:00:00,148.824,26,-1,0.003,-999.000,0.038,0.007,1.9,,31,5,320,2.2,-13.4,1005.1,1022.4,1,,-.1
2013-01-05 15:00:00,126.072,21,-1,0.003,-999.000,0.040,0.006,2.1,,32,4.8,290,2.3,-12.9,1004.7,1022,.9,,0
2013-01-05 16:00:00,82.692,15,-1,0.003,-999.000,0.039,0.007,2.4,,32,4,290,2.3,-12.6,1005.2,1022.5,1,,0
2013-01-05 17:00:00,42.012,17,-1,0.004,-999.000,0.038,0.009,1.2,,38,4.7,270,2.5,-11.5,1006.1,1023.5,.3,,0
2013-01-05 18:00:00,1.008,19,-1,0.004,-999.000,0.035,0.012,.2,,44,6.4,270,2.7,-10.6,1006.3,1023.7,0,,-.1
2013-01-05 19:00:00,0,18,-1,0.004,-999.000,0.035,0.011,-.5,,49,6.3,270,2.9,-9.9,1007.7,1025.2,,,-.2
2013-01-05 20:00:00,0,19,-1,0.004,-999.000,0.037,0.007,-.7,,48,5.2,290,2.8,-10.3,1008.1,1025.6,,,-.3
2013-01-05 21:00:00,0,25,-1,0.004,-999.000,0.038,0.006,-1.2,,51,4,290,2.9,-10,1007.6,1025.1,,,-.3
2013-01-05 22:00:00,0,13,-1,0.004,-999.000,0.034,0.008,-1.6,,51,3.7,270,2.8,-10.4,1007.3,1024.9,,,-.4
2013-01-05 23:00:00,0,16,-1,0.003,-999.000,0.025,0.013,-2.3,,52,3.2,320,2.7,-10.8,1007.1,1024.7,,,-.4
2013-01-06 00:00:00,0,28,-1,0.003,-999.000,0.025,0.008,-2.3,,50,2.7,320,2.6,-11.3,1007,1024.6,,,-.5
2013-01-06 01:00:00,0,22,-1,0.003,0.400,0.023,0.008,-3.4,,56,2.6,360,2.7,-10.9,1007,1024.7,,,-.5
2013-01-06 02:00:00,0,31,-1,0.003,0.300,0.027,0.006,-3.3,,56,2.6,270,2.7,-10.8,1007.7,1025.4,,,-.5
2013-01-06 03:00:00,0,27,-1,0.003,0.300,0.027,0.005,-2.9,,56,1.8,320,2.8,-10.4,1007.9,1025.6,,,-.6
2013-01-06 04:00:00,0,29,-1,0.003,0.300,0.026,0.004,-2.3,,54,3.4,360,2.8,-10.3,1007.2,1024.8,,,-.5
2013-01-06 05:00:00,0,25,-1,0.003,0.300,0.025,0.004,-1.9,,53,4.4,360,2.8,-10.2,1007.2,1024.8,,,-.5
2013-01-06 06:00:00,0,22,-1,0.003,0.300,0.025,0.005,-1.8,,53,4.8,360,2.8,-10.1,1007.3,1024.9,,,-.4
2013-01-06 07:00:00,0,24,-1,0.003,0.300,0.023,0.005,-2.1,,54,4.2,20,2.8,-10.1,1007.3,1024.9,,,-.4
2013-01-06 08:00:00,0,27,-1,0.003,0.300,0.015,0.013,-3.1,,57,1.2,180,2.8,-10.4,1007.5,1025.2,0,,-.4
2013-01-06 09:00:00,21.312,30,-1,0.003,0.400,0.010,0.020,-2.7,,58,2.1,270,2.9,-9.8,1007.9,1025.5,0,,-.5
2013-01-06 10:00:00,86.616,44,-1,0.004,0.400,0.016,0.016,-.8,,46,1.9,320,2.6,-11,1007.8,1025.3,.8,,-.4
2013-01-06 11:00:00,123.984,51,-1,0.007,0.400,0.027,0.009,.4,,36,1.1,290,2.3,-12.9,1007.3,1024.7,1,,-.3
2013-01-06 12:00:00,139.644,51,-1,0.008,0.500,0.031,0.008,1.7,,27,1.1,320,1.9,-15.3,1006.5,1023.8,1,,-.1
