지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017010101,0.004,0.400,0.011,0.029,52,36,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010102,0.004,0.400,0.012,0.026,47,35,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010103,0.005,0.400,0.012,0.025,48,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010104,0.004,0.300,0.020,0.018,60,50,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010105,0.004,0.300,0.020,0.019,47,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010106,0.004,0.400,0.012,0.026,48,42,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010107,0.004,0.300,0.013,0.029,60,44,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010108,0.005,0.400,0.012,0.033,53,39,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010109,0.005,0.400,0.022,0.025,57,44,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010110,0.005,0.400,0.023,0.024,55,39,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010111,0.005,0.300,0.031,0.019,54,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010112,0.005,0.300,0.037,0.014,55,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010113,0.005,0.300,0.043,0.013,55,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010114,0.006,0.300,0.043,0.015,57,40,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010115,0.006,0.300,0.042,0.016,54,41,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010116,0.005,0.300,0.046,0.014,51,35,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010117,0.007,0.300,0.041,0.020,45,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010118,0.008,0.400,0.021,0.040,50,34,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010119,0.006,0.400,0.018,0.039,53,37,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010120,0.005,0.800,0.005,0.058,66,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010121,0.006,0.600,0.005,0.055,75,56,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010122,0.006,0.500,0.003,0.056,73,49,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010123,0.006,0.500,0.007,0.052,73,52,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010124,0.010,0.600,0.003,0.054,79,54,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010201,0.008,0.500,0.003,0.049,73,53,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010202,0.007,0.500,0.008,0.042,68,52,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010203,0.005,0.500,0.009,0.039,66,48,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010204,0.007,0.400,0.009,0.038,69,51,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010205,0.006,0.400,0.015,0.030,69,57,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017010206,0.006,1.000,0.013,0.030,73,54,부산 사하구 장림로 161번길 2
