지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
경남 하동군,238161,하동읍,2015100101,0.002,0.200,0.026,0.004,13,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100102,0.002,0.200,0.026,0.004,17,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100103,0.002,0.200,0.026,0.004,13,8,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100104,0.002,0.200,0.026,0.004,11,7,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100105,0.002,0.200,0.025,0.004,10,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100106,0.002,0.200,0.024,0.004,10,,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100107,0.002,0.200,0.023,0.005,11,10,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100108,0.002,0.200,0.020,0.009,11,8,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100109,0.003,0.200,0.015,0.013,11,6,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100110,0.002,0.200,0.014,0.015,13,7,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100111,0.002,0.200,0.016,0.014,9,,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100112,0.002,0.200,0.020,0.008,6,,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100113,0.003,0.300,0.020,0.013,8,4,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100114,0.002,0.400,0.024,0.010,9,4,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100115,0.002,0.400,0.032,0.005,8,7,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100116,0.002,0.400,0.031,0.005,8,6,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100117,0.002,0.300,0.033,0.005,8,3,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100118,0.002,0.300,0.041,0.005,3,3,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100119,0.002,0.400,0.048,0.005,9,6,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100120,0.002,0.500,0.046,0.005,11,11,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100121,0.002,0.600,0.047,0.005,13,13,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100122,0.002,0.400,0.045,0.004,20,8,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100123,0.002,0.300,0.039,0.003,26,8,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100124,0.002,0.200,0.039,0.002,23,13,경남 하동군 하동읍 군청로 23
경남 하동군,238161,하동읍,2015100201,0.002,0.200,0.037,0.002,28,14,경남 하동군 하동읍 군청로 23
