지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
부산 사하구,장림동,221202,2013040101,0.004,0.300,0.020,0.023,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013040102,0.004,0.300,0.015,0.028,59,부산 사하구 장림동
부산 사하구,장림동,221202,2013040103,0.005,0.300,0.010,0.028,51,부산 사하구 장림동
부산 사하구,장림동,221202,2013040104,0.006,0.400,0.009,0.032,63,부산 사하구 장림동
부산 사하구,장림동,221202,2013040105,0.005,0.400,0.006,0.035,61,부산 사하구 장림동
부산 사하구,장림동,221202,2013040106,0.008,0.800,0.005,0.038,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013040107,0.006,0.500,0.006,0.046,67,부산 사하구 장림동
부산 사하구,장림동,221202,2013040108,0.010,0.500,0.005,0.049,90,부산 사하구 장림동
부산 사하구,장림동,221202,2013040109,0.010,0.600,0.016,0.050,80,부산 사하구 장림동
부산 사하구,장림동,221202,2013040110,0.008,0.400,0.026,0.035,122,부산 사하구 장림동
부산 사하구,장림동,221202,2013040111,0.006,0.200,0.035,0.015,81,부산 사하구 장림동
부산 사하구,장림동,221202,2013040112,0.005,0.200,0.035,0.014,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013040113,0.005,0.200,0.034,0.014,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013040114,0.005,0.200,0.034,0.017,36,부산 사하구 장림동
부산 사하구,장림동,221202,2013040115,0.005,0.200,0.030,0.024,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013040116,0.005,0.200,0.032,0.021,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013040117,0.005,0.200,0.035,0.017,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013040118,0.006,0.300,0.030,0.024,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013040119,0.007,0.300,0.027,0.029,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013040120,0.007,0.300,0.022,0.034,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013040121,0.008,0.300,0.018,0.039,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013040122,0.005,0.300,0.022,0.034,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013040123,0.005,0.400,0.019,0.036,38,부산 사하구 장림동
부산 사하구,장림동,221202,2013040124,0.005,0.500,0.008,0.046,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013040201,0.005,0.500,0.007,0.046,70,부산 사하구 장림동
부산 사하구,장림동,221202,2013040202,0.005,0.400,0.007,0.045,57,부산 사하구 장림동
부산 사하구,장림동,221202,2013040203,0.005,0.400,0.007,0.044,79,부산 사하구 장림동
부산 사하구,장림동,221202,2013040204,0.005,0.500,0.008,0.042,67,부산 사하구 장림동
부산 사하구,장림동,221202,2013040205,0.008,0.800,0.006,0.043,70,부산 사하구 장림동
부산 사하구,장림동,221202,2013040206,0.010,0.400,0.006,0.045,75,부산 사하구 장림동
부산 사하구,장림동,221202,2013040207,0.008,0.800,0.005,0.057,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013040208,0.013,0.600,0.006,0.053,77,부산 사하구 장림동
부산 사하구,장림동,221202,2013040209,0.009,0.500,0.008,0.050,101,부산 사하구 장림동
부산 사하구,장림동,221202,2013040210,0.011,0.400,0.010,0.045,85,부산 사하구 장림동
