지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
부산 사하구,장림동,221202,2013010101,0.006,0.400,0.010,0.040,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010102,0.006,0.400,0.008,0.042,39,부산 사하구 장림동
부산 사하구,장림동,221202,2013010103,0.005,0.400,0.011,0.039,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013010104,0.005,0.400,0.009,0.038,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013010105,0.007,0.500,0.004,0.045,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013010106,0.009,0.500,0.004,0.044,53,부산 사하구 장림동
부산 사하구,장림동,221202,2013010107,0.008,0.500,0.004,0.044,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013010108,0.008,0.600,0.004,0.050,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013010109,0.008,0.600,0.004,0.047,65,부산 사하구 장림동
부산 사하구,장림동,221202,2013010110,0.007,0.600,0.005,0.044,77,부산 사하구 장림동
부산 사하구,장림동,221202,2013010111,0.006,0.600,0.005,0.050,75,부산 사하구 장림동
부산 사하구,장림동,221202,2013010112,0.008,0.400,0.012,0.037,88,부산 사하구 장림동
부산 사하구,장림동,221202,2013010113,0.010,0.300,0.019,0.032,58,부산 사하구 장림동
부산 사하구,장림동,221202,2013010114,0.010,0.300,0.031,0.023,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013010115,0.011,0.300,0.034,0.022,69,부산 사하구 장림동
부산 사하구,장림동,221202,2013010116,0.011,0.400,0.033,0.022,73,부산 사하구 장림동
부산 사하구,장림동,221202,2013010117,0.012,0.400,0.033,0.021,73,부산 사하구 장림동
부산 사하구,장림동,221202,2013010118,0.014,0.400,0.032,0.022,126,부산 사하구 장림동
부산 사하구,장림동,221202,2013010119,0.013,0.500,0.021,0.031,176,부산 사하구 장림동
부산 사하구,장림동,221202,2013010120,0.014,0.500,0.018,0.034,141,부산 사하구 장림동
부산 사하구,장림동,221202,2013010121,0.014,0.500,0.010,0.043,148,부산 사하구 장림동
부산 사하구,장림동,221202,2013010122,0.014,0.500,0.008,0.046,153,부산 사하구 장림동
부산 사하구,장림동,221202,2013010123,0.012,0.700,0.004,0.054,151,부산 사하구 장림동
부산 사하구,장림동,221202,2013010124,0.012,0.800,0.004,0.051,150,부산 사하구 장림동
부산 사하구,장림동,221202,2013010201,0.011,0.800,0.004,0.049,149,부산 사하구 장림동
부산 사하구,장림동,221202,2013010202,0.015,0.600,0.006,0.042,143,부산 사하구 장림동
부산 사하구,장림동,221202,2013010203,0.015,0.500,0.017,0.029,140,부산 사하구 장림동
부산 사하구,장림동,221202,2013010204,0.015,0.400,0.025,0.022,149,부산 사하구 장림동
부산 사하구,장림동,221202,2013010205,0.018,0.400,0.026,0.021,152,부산 사하구 장림동
부산 사하구,장림동,221202,2013010206,0.012,0.400,0.028,0.017,139,부산 사하구 장림동
부산 사하구,장림동,221202,2013010207,0.011,0.500,0.013,0.035,113,부산 사하구 장림동
부산 사하구,장림동,221202,2013010208,0.011,0.500,0.005,0.047,140,부산 사하구 장림동
부산 사하구,장림동,221202,2013010209,0.011,0.500,0.009,0.040,133,부산 사하구 장림동
부산 사하구,장림동,221202,2013010210,0.012,0.400,0.012,0.038,120,부산 사하구 장림동
부산 사하구,장림동,221202,2013010211,0.008,0.400,0.017,0.033,104,부산 사하구 장림동
부산 사하구,장림동,221202,2013010212,0.006,0.400,0.018,0.032,112,부산 사하구 장림동
부산 사하구,장림동,221202,2013010213,0.006,0.300,0.023,0.028,89,부산 사하구 장림동
부산 사하구,장림동,221202,2013010214,0.006,0.300,0.021,0.031,67,부산 사하구 장림동
부산 사하구,장림동,221202,2013010215,0.006,0.300,0.020,0.033,71,부산 사하구 장림동
부산 사하구,장림동,221202,2013010216,0.006,0.300,0.019,0.036,71,부산 사하구 장림동
부산 사하구,장림동,221202,2013010217,0.010,0.300,0.018,0.036,73,부산 사하구 장림동
부산 사하구,장림동,221202,2013010218,0.008,0.300,0.015,0.040,68,부산 사하구 장림동
부산 사하구,장림동,221202,2013010219,0.010,0.400,0.014,0.040,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013010220,0.009,0.300,0.020,0.030,58,부산 사하구 장림동
부산 사하구,장림동,221202,2013010221,0.008,0.300,0.024,0.023,51,부산 사하구 장림동
부산 사하구,장림동,221202,2013010222,0.009,0.300,0.025,0.021,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010223,0.006,0.300,0.028,0.018,47,부산 사하구 장림동
부산 사하구,장림동,221202,2013010224,0.007,0.300,0.028,0.016,49,부산 사하구 장림동
부산 사하구,장림동,221202,2013010301,0.008,0.300,0.027,0.016,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013010302,0.009,0.300,0.027,0.016,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010303,0.008,0.300,0.026,0.016,36,부산 사하구 장림동
부산 사하구,장림동,221202,2013010304,0.006,0.300,0.029,0.012,41,부산 사하구 장림동
부산 사하구,장림동,221202,2013010305,0.006,0.300,0.028,0.012,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010306,0.006,0.300,0.025,0.016,35,부산 사하구 장림동
부산 사하구,장림동,221202,2013010307,0.006,0.300,0.016,0.028,37,부산 사하구 장림동
부산 사하구,장림동,221202,2013010308,0.009,0.300,0.011,0.036,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013010309,0.007,0.300,0.010,0.039,49,부산 사하구 장림동
부산 사하구,장림동,221202,2013010310,0.007,0.300,0.014,0.035,73,부산 사하구 장림동
부산 사하구,장림동,221202,2013010311,0.012,0.300,0.018,0.032,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013010312,0.012,0.300,0.020,0.031,83,부산 사하구 장림동
부산 사하구,장림동,221202,2013010313,0.009,0.300,0.024,0.025,87,부산 사하구 장림동
부산 사하구,장림동,221202,2013010314,0.007,0.300,0.021,0.028,89,부산 사하구 장림동
부산 사하구,장림동,221202,2013010315,0.009,0.300,0.020,0.031,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013010316,0.007,0.300,0.020,0.030,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013010317,0.005,0.300,0.018,0.032,58,부산 사하구 장림동
부산 사하구,장림동,221202,2013010318,0.013,0.300,0.013,0.038,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013010319,0.009,0.300,0.017,0.033,54,부산 사하구 장림동
부산 사하구,장림동,221202,2013010320,0.006,-999.000,0.021,0.027,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013010321,0.007,-999.000,0.018,0.030,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013010322,0.005,-999.000,0.026,0.019,44,부산 사하구 장림동
부산 사하구,장림동,221202,2013010323,0.006,-999.000,0.024,0.020,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013010324,0.005,-999.000,0.027,0.017,49,부산 사하구 장림동
부산 사하구,장림동,221202,2013010401,0.007,-999.000,0.024,0.019,39,부산 사하구 장림동
부산 사하구,장림동,221202,2013010402,0.006,-999.000,0.024,0.019,35,부산 사하구 장림동
부산 사하구,장림동,221202,2013010403,0.009,-999.000,0.025,0.018,36,부산 사하구 장림동
부산 사하구,장림동,221202,2013010404,0.005,-999.000,0.024,0.016,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010405,0.005,-999.000,0.022,0.018,32,부산 사하구 장림동
부산 사하구,장림동,221202,2013010406,0.006,-999.000,0.017,0.024,35,부산 사하구 장림동
부산 사하구,장림동,221202,2013010407,0.006,-999.000,0.010,0.036,34,부산 사하구 장림동
부산 사하구,장림동,221202,2013010408,0.006,0.400,0.008,0.039,41,부산 사하구 장림동
부산 사하구,장림동,221202,2013010409,0.006,0.400,0.008,0.042,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013010410,0.006,0.400,0.011,0.039,62,부산 사하구 장림동
부산 사하구,장림동,221202,2013010411,-999.000,-999.000,-999.000,-999.000,80,부산 사하구 장림동
부산 사하구,장림동,221202,2013010412,-999.000,-999.000,-999.000,-999.000,86,부산 사하구 장림동
부산 사하구,장림동,221202,2013010413,-999.000,-999.000,-999.000,-999.000,72,부산 사하구 장림동
부산 사하구,장림동,221202,2013010414,-999.000,-999.000,-999.000,-999.000,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013010415,0.008,0.300,0.019,0.034,62,부산 사하구 장림동
부산 사하구,장림동,221202,2013010416,0.009,0.300,0.017,0.037,63,부산 사하구 장림동
부산 사하구,장림동,221202,2013010417,0.009,0.300,0.013,0.041,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013010418,0.006,0.400,0.006,0.051,69,부산 사하구 장림동
부산 사하구,장림동,221202,2013010419,0.007,0.400,0.004,0.054,76,부산 사하구 장림동
부산 사하구,장림동,221202,2013010420,0.010,0.400,0.003,0.056,76,부산 사하구 장림동
부산 사하구,장림동,221202,2013010421,0.007,0.400,0.004,0.051,69,부산 사하구 장림동
부산 사하구,장림동,221202,2013010422,0.006,0.400,0.005,0.047,54,부산 사하구 장림동
부산 사하구,장림동,221202,2013010423,0.006,0.400,0.007,0.044,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013010424,0.006,0.300,0.009,0.040,54,부산 사하구 장림동
부산 사하구,장림동,221202,2013010501,0.006,0.300,0.012,0.035,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013010502,0.006,0.300,0.013,0.032,42,부산 사하구 장림동
부산 사하구,장림동,221202,2013010503,0.006,0.300,0.012,0.031,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013010504,0.006,0.300,0.014,0.029,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013010505,0.006,0.300,0.016,0.026,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013010506,0.006,0.300,0.014,0.029,37,부산 사하구 장림동
부산 사하구,장림동,221202,2013010507,0.005,0.300,0.012,0.033,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013010508,0.006,0.300,0.009,0.042,32,부산 사하구 장림동
부산 사하구,장림동,221202,2013010509,0.007,0.400,0.008,0.045,44,부산 사하구 장림동
부산 사하구,장림동,221202,2013010510,0.006,0.300,0.012,0.038,57,부산 사하구 장림동
부산 사하구,장림동,221202,2013010511,0.006,0.300,0.015,0.037,65,부산 사하구 장림동
부산 사하구,장림동,221202,2013010512,0.005,0.300,0.021,0.031,74,부산 사하구 장림동
부산 사하구,장림동,221202,2013010513,0.005,0.300,0.024,0.027,65,부산 사하구 장림동
부산 사하구,장림동,221202,2013010514,0.005,0.200,0.024,0.029,50,부산 사하구 장림동
부산 사하구,장림동,221202,2013010515,0.005,0.300,0.024,0.029,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013010516,0.006,0.300,0.024,0.031,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013010517,0.006,0.300,0.024,0.030,51,부산 사하구 장림동
