지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017070101,0.004,0.200,0.025,0.014,24,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070102,0.005,0.200,0.020,0.017,25,18,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070103,0.010,0.200,0.016,0.022,24,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070104,0.006,0.200,0.021,0.015,23,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070105,0.005,0.200,0.020,0.013,22,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070106,0.004,0.200,0.024,0.010,16,9,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070107,0.004,0.200,0.021,0.012,11,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070108,0.003,0.200,0.022,0.011,16,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070109,0.004,0.200,0.016,0.016,15,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070110,0.004,0.300,0.017,0.018,23,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070111,0.003,0.300,0.019,0.018,35,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070112,0.004,0.300,0.018,0.021,35,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070113,0.006,0.300,0.021,0.020,36,26,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070114,0.005,0.200,0.028,0.014,32,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070115,0.004,0.200,0.028,0.013,31,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070116,0.004,0.200,0.030,0.012,32,20,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070117,0.003,0.200,0.030,0.014,29,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070118,0.003,0.200,0.031,0.012,26,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070119,0.004,0.200,0.026,0.013,26,22,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070120,0.004,0.200,0.026,0.012,26,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070121,0.004,0.200,0.024,0.013,21,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070122,0.005,0.200,0.021,0.017,27,25,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017070123,0.004,0.200,0.025,0.014,24,21,부산 사하구 장림로 161번길 2
