지역,측정소명,측정소코드,측정일시,SO2,CO,O3,NO2,PM10,주소
부산 사하구,장림동,221202,2013100101,0.005,0.200,0.036,0.010,21,부산 사하구 장림동
부산 사하구,장림동,221202,2013100102,0.005,0.200,0.038,0.005,24,부산 사하구 장림동
부산 사하구,장림동,221202,2013100103,0.006,0.300,0.029,0.009,23,부산 사하구 장림동
부산 사하구,장림동,221202,2013100104,0.006,0.300,0.025,0.015,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013100105,0.007,0.400,0.028,0.011,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013100106,0.006,0.300,0.032,0.010,49,부산 사하구 장림동
부산 사하구,장림동,221202,2013100107,0.007,0.400,0.022,0.020,34,부산 사하구 장림동
부산 사하구,장림동,221202,2013100108,0.013,0.500,0.014,0.019,58,부산 사하구 장림동
부산 사하구,장림동,221202,2013100109,0.008,0.400,0.019,0.019,64,부산 사하구 장림동
부산 사하구,장림동,221202,2013100110,0.012,0.300,0.031,0.019,59,부산 사하구 장림동
부산 사하구,장림동,221202,2013100111,0.008,0.300,0.038,0.012,46,부산 사하구 장림동
부산 사하구,장림동,221202,2013100112,0.007,0.300,0.041,0.010,39,부산 사하구 장림동
부산 사하구,장림동,221202,2013100113,0.007,0.300,0.044,0.013,43,부산 사하구 장림동
부산 사하구,장림동,221202,2013100114,0.008,0.300,0.042,0.011,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013100115,0.008,0.300,0.040,0.013,54,부산 사하구 장림동
부산 사하구,장림동,221202,2013100116,0.009,0.200,0.038,0.017,55,부산 사하구 장림동
부산 사하구,장림동,221202,2013100117,0.009,0.300,0.032,0.014,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013100118,0.008,0.300,0.029,0.014,41,부산 사하구 장림동
부산 사하구,장림동,221202,2013100119,0.009,0.300,0.024,0.021,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013100120,0.012,0.300,0.020,0.015,39,부산 사하구 장림동
부산 사하구,장림동,221202,2013100121,0.010,0.300,0.029,0.012,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013100122,0.013,0.300,0.028,0.017,40,부산 사하구 장림동
부산 사하구,장림동,221202,2013100123,0.010,0.300,0.030,0.011,29,부산 사하구 장림동
부산 사하구,장림동,221202,2013100124,0.008,0.300,0.022,0.013,27,부산 사하구 장림동
부산 사하구,장림동,221202,2013100201,0.007,0.300,0.017,0.019,50,부산 사하구 장림동
부산 사하구,장림동,221202,2013100202,0.006,0.300,0.022,0.010,48,부산 사하구 장림동
부산 사하구,장림동,221202,2013100203,0.006,0.400,0.023,0.010,53,부산 사하구 장림동
부산 사하구,장림동,221202,2013100204,0.006,0.300,0.030,0.011,62,부산 사하구 장림동
부산 사하구,장림동,221202,2013100205,0.006,0.400,0.019,-999.000,52,부산 사하구 장림동
부산 사하구,장림동,221202,2013100206,0.007,0.300,0.015,-999.000,45,부산 사하구 장림동
부산 사하구,장림동,221202,2013100207,0.006,0.300,0.008,-999.000,61,부산 사하구 장림동
부산 사하구,장림동,221202,2013100208,0.007,0.400,0.007,-999.000,72,부산 사하구 장림동
부산 사하구,장림동,221202,2013100209,0.007,0.300,0.011,-999.000,69,부산 사하구 장림동
부산 사하구,장림동,221202,2013100210,0.007,0.400,0.011,-999.000,78,부산 사하구 장림동
부산 사하구,장림동,221202,2013100211,0.006,0.300,0.011,-999.000,95,부산 사하구 장림동
부산 사하구,장림동,221202,2013100212,0.006,0.300,0.014,-999.000,91,부산 사하구 장림동
부산 사하구,장림동,221202,2013100213,0.006,0.300,0.019,-999.000,74,부산 사하구 장림동
부산 사하구,장림동,221202,2013100214,0.006,0.300,0.027,-999.000,53,부산 사하구 장림동
부산 사하구,장림동,221202,2013100215,0.006,0.300,0.029,-999.000,67,부산 사하구 장림동
부산 사하구,장림동,221202,2013100216,0.011,0.300,0.026,-999.000,66,부산 사하구 장림동
부산 사하구,장림동,221202,2013100217,0.008,0.300,0.030,-999.000,61,부산 사하구 장림동
부산 사하구,장림동,221202,2013100218,-999.000,-999.000,-999.000,-999.000,-999,부산 사하구 장림동
