지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,도시대기,221202,장림동,2017050101,0.010,0.300,0.062,0.025,73,46,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050102,0.010,0.400,0.057,0.025,79,50,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050103,0.011,0.400,0.073,0.021,81,51,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050104,0.006,0.300,0.087,0.011,75,56,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050105,0.011,0.400,0.071,0.021,70,47,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050106,0.010,0.400,0.062,0.025,78,52,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050107,0.007,0.400,0.069,0.021,78,51,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050108,0.007,0.400,0.066,0.024,81,45,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050109,0.006,0.400,0.060,0.018,83,46,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050110,0.004,0.400,0.059,0.013,85,31,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050111,0.003,0.300,0.057,0.012,78,24,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050112,0.005,0.300,0.057,0.016,64,21,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050113,0.005,0.200,0.055,0.014,72,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050114,0.004,0.200,0.053,0.011,59,16,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050115,0.003,0.200,0.050,0.011,57,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050116,0.003,0.200,0.050,0.010,52,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050117,,,,,,,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050118,0.003,0.200,0.046,0.013,40,8,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050119,0.003,0.200,0.041,0.017,33,8,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050120,0.004,0.300,0.037,0.021,27,8,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050121,0.005,0.300,0.035,0.022,27,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050122,0.005,0.300,0.036,0.020,19,12,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050123,0.004,0.200,0.044,0.012,18,17,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050124,0.004,0.200,0.046,0.010,18,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050201,0.005,0.200,0.047,0.009,22,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050202,0.005,0.200,0.045,0.009,21,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050203,0.005,0.300,0.031,0.018,20,10,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050204,0.004,0.300,0.028,0.020,27,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050205,0.005,0.400,0.019,0.028,27,13,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050206,0.005,0.300,0.028,0.026,38,19,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050207,0.005,0.300,0.032,0.024,35,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050208,0.005,0.300,0.040,0.018,32,14,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050209,0.005,0.300,0.039,0.021,37,11,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050210,0.004,0.300,0.044,0.018,42,15,부산 사하구 장림로 161번길 2
부산 사하구,도시대기,221202,장림동,2017050211,0.003,0.200,0.046,0.017,52,9,부산 사하구 장림로 161번길 2
