지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
부산 사하구,221202,장림동,2018040101,0.010,0.300,0.031,0.029,52,26,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040102,0.007,0.300,0.042,0.016,47,34,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040103,0.007,0.300,0.035,0.018,47,27,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040104,0.009,0.300,0.033,0.021,55,30,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040105,0.014,0.300,0.021,0.031,57,36,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040106,0.008,0.300,0.019,0.029,67,39,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040107,0.007,0.300,0.017,0.034,58,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040108,0.006,0.400,0.007,0.042,63,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040109,0.007,0.400,0.019,0.036,72,39,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040110,0.007,0.300,0.033,0.027,68,40,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040111,0.014,0.200,0.036,0.027,85,36,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040112,0.008,0.200,0.050,0.014,80,37,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040113,0.008,0.300,0.045,0.018,71,26,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040114,0.006,0.300,0.046,0.014,72,32,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040115,0.006,0.200,0.046,0.014,63,27,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040116,0.005,0.200,0.047,0.012,58,30,부산 사하구 장림로 161번길 2
부산 사하구,221202,장림동,2018040117,0.005,0.200,0.049,0.011,64,34,부산 사하구 장림로 161번길 2
